language;mean;std_dev;date
C;0,0078372;0,0000580;2025-12-17
Rust;0,0086204;0,0000635;2025-12-17
Crystal;0,0076816;0,000957;2025-12-17
C3;0,015786;0,000138;2025-12-17
Go;0,015088;0,000118;2025-12-17
Ada;0,018781;0,000101;2025-12-14
V;0,0180153;0,0000972;2025-12-18
Mojo;0,022881;0,000190;2025-12-13
OCaml;0,017612;0,000136;2025-12-21
FreeBASIC;0,017189;0,000682;2025-12-17
Zig;0,0033542;0,0000609;2025-12-18
Swift;0,031289;0,000195;2025-12-18
Standard ML (MLton);0,043761;0,000183;2025-12-21
Common Lisp (SBCL);0,039224;0,000193;2025-12-21
Roc;0,061394;0,000145;2025-12-21
C#;0,046873;0,000318;2025-12-17
Inko;0,094590;0,000126;2025-12-17
Chapel;0,279662;0,000737;2025-12-17
Scheme (Bigloo);0,022980;0,000218;2025-12-21
Lua;0,120762;0,000766;2025-12-21
Python;0,139;0;2025-12-13
PowerShell;0,585;0,014;2026-01-12
Perl 5;0,038728;0,000149;2025-12-19
Scala JVM uberjar;0,142;0,003;2025-12-21
Kotlin JVM uberjar;0,073;0,003;2025-12-21
Clojure JVM uberjar;0,416;0,004;2025-12-21
Gleam (Erlang VM);0,232;0,0;2025-12-13
Mercury;0,056218;0,000619;2025-12-24
Prolog (SWI);0,242;0,0030; 2025-12-24
Picat (B-Prolog);0,240;0,004;2025-12-24
Julia;0,168;0,004;2026-01-03
Fortran (GNU);0,053164;0,000188;2026-01-06
Odin;0,013925;0,000136;2026-01-08
Nim;0,041913;0,000362;2026-01-12
