language;mean;std_dev;date
C# (CLR on .NET);0,046873;0,000318;2025-12-17
Python;0,139;0;2025-12-13
PowerShell (CLR on .NET);0,503;0,007;2026-05-26
Scala JVM uberjar;0,142;0,003;2025-12-21
Kotlin JVM uberjar;0,067;0,002;2026-05-26
Clojure JVM uberjar;0,416;0,004;2025-12-21
Gleam (Erlang VM);0,232;0,0;2025-12-13
Ruby (YARV);0,072;0,003;2026-05-26
Groovy JVM uberjar;0,341;0,004;2026-01-29
Lua;0,120762;0,000766;2025-12-21
Dart ahead-of-time;0,014;0,003;2026-02-08
Dart interpreted;0,217;0,004;2026-02-08
Dart just-in-time;0,102;0,004;2026-02-08
PHP (Zend engine);0,015;0,001;2026-02-09
Ballerina JVM uberjar;0,454;0,007;2026-05-07
Java JVM uberjar;0,051;0,001;2026-05-19
Smalltalk (GNU);0,258;0,006;2026-05-20
Forth (Gforth);0,024569;0,000159;2026-07-08
